title,description,source,job_id,company,location,url,tags,posted_date,collection_domain,tag_query,unified_domain
Night Cleaning Crew,"Full Time: Working in partnership with the Chief Executive Officer, the COO provides strategic and operational leadership for the organization and is responsible for the effective day-to-day management of YMCA operations. Please mention the word **DAZZLED** and tag RMTk3LjQ3LjE5Ny44NQ== when applying to show you read the job post completely (#RMTk3LjQ3LjE5Ny44NQ==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",remoteok,1135067,Billings Family YMCA,"Good Night, ",https://remoteOK.com/remote-jobs/remote-night-cleaning-crew-billings-family-ymca-1135067,"[""ops"", ""exec""]",2026-07-19T20:09:45+00:00,,,business
HR Manager Fast Growing E Commerce Startup,"Posted 3:17:55 PM. 📩 Please apply here: https://form.typeform.com/to/UUjtToiU At Skinnify, we make clothing with...See this and similar jobs on LinkedIn. Please mention the word **ORIGINALITY** and tag RMTk3LjQ3LjE5Ny44NQ== when applying to show you read the job post completely (#RMTk3LjQ3LjE5Ny44NQ==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",remoteok,1135063,Skinnify,Remote,https://remoteOK.com/remote-jobs/remote-hr-manager-fast-growing-e-commerce-startup-skinnify-1135063,"[""hr"", ""exec"", ""ecommerce""]",2026-07-19T19:02:18+00:00,,,
Applied AI Product Strategy & Revenue Lead,"Applied AI Product Strategy &amp; Revenue Lead Own Your Intelligence Prime Intellect is building the open superintelligence stack: the infrastructure frontier AI labs build internally, made available to every ambitious AI team. Our platform, Lab, unifies compute, environments, evaluations, secure sandboxes, high-performance training, and deployment into one full-stack system for post-training at frontier scale - from SFT and RL to tool use, agent workflows, and continuously improving production models. We are building open frontier AI: open-source models trained end to end for long-horizon tasks like autonomous research, and the full-stack platform our own research team uses to build them. The next generation of AI companies, enterprises, and research teams do not just need more GPUs. They need the ability to turn their own workflows, tools, data, and feedback loops into superintelligence they own. Prime Intellect has raised $150M in total funding from Founders Fund, Radical Ventures, NVIDIA, and exceptional AI, infrastructure, and enterprise operators — including Andrej Karpathy, Dwarkesh Patel, and leaders and founders from Ramp, Perplexity, Harvey, Mercor, Zapier, Datadog, Cognition, OpenAI, Thinking Machines, Together AI, SemiAnalysis, LangChain, Browserbase, Cloudflare, Sierra, Databricks, Airbnb, OpenRouter, Standard Intelligence, Fleet, Core Auto, and more. We are looking for people who want to build at the intersection of frontier research, real infrastructure, and go-to-market for a category that does not fully exist yet. The Role This is not a traditional sales role. It is not a traditional product role. It is not a traditional solutions engineering role. You will help define how Prime Intellect turns frontier post-training infrastructure into a product customers can understand, buy, deploy, and expand. Today, the hardest part of the business is not selling raw compute. It is refining the product, customer motion, and technical wedge together with Applied Research, Product, Engineering, and the customer. We are selling something much more complex and much more valuable than GPUs: the ability for customers to build their own lab — environments, evals, verifiers, agents, training runs, and deployment loops that compound over time. You will own that messy middle. You will work directly with customers, the CEO, GTM leadership, Applied Research, and Engineering to translate ambiguous customer pain into a concrete product strategy, technical scope, commercial proposal, and path to revenue. You will help us figure out where the product is ready, where it needs to be shaped, what the customer actually wants, and how to turn early traction into repeatable motion. This is a role for someone who wants to be in the room where a new category is being created. What You'll Own Customer-to-Product Translation You will work with frontier AI labs, fast-growing AI startups, and enterprise AI teams to understand what they are trying to build, where their current stack breaks, and how Prime Intellect can become the infrastructure layer underneath their post-training and agent workflows. You will turn vague, high-stakes customer conversations into clear technical and commercial strategy: What is the customer actually trying to improve? Is the wedge compute, evals, environments, sandboxes, managed RL, SFT, inference, or a full-stack workflow? What should Applied Research build or prototype? What needs to be packaged as product? What should be in scope for a POC versus a long-term deployment? What is the fastest path to a strong yes? Pre-PMF Product Strategy You will help shape Prime Intellect's product motion before every part of the playbook is obvious. That means identifying patterns across customer conversations, building repeatable narratives, defining packaging, sharpening use cases, and helping the team understand which customer asks are one-off noise versus signs of a massive market. You will help answer questions like: How do we explain Lab to different customer segments? Which customer workflows should become reference architectures? What should we productize versus deliver as managed work? Where is the strongest wedge for enterprise customers? Which signals show that a customer is ready for managed post-training? How do we turn Applied Research work into revenue without diluting the research agenda? Revenue Ownership You will own high-value customer opportunities from first serious conversation through qualification, scoping, proposal, POC, procurement, and expansion. You will not be measured on activity. You will be measured on whether the most important customers move. This includes: Running discovery with technical and executive stakeholders Building the business case and technical wedge Owning account strategy with leadership Drafting proposals, scopes, and commercial structures Coordinating internal workstreams across Applied Research, Product, Engineering, Legal, and Finance Creating momentum through ambiguity Turning early deployments into expansion and long-term platform revenue Applied Research Partnership You will work extremely closely with Applied Research. The best version of this role has enough technical taste to understand where an RL/post-training workflow is real, where a customer is hand-waving, and where a sharp Applied Research prototype could unlock a major deal. You will help Applied Research prioritize customer-facing work by bringing signal from the field: Which evals matter? Which environments should we build? Which agents or workflows are most commercially valuable? Which technical demos will change the customer's mind? Which customer problems are actually research problems in disguise? Category Creation The market understands compute. It does not yet fully understand full-stack post-training infrastructure. You will help write the playbook. You will contribute to positioning, sales narratives, customer decks, case studies, reference architectures, launch moments, and internal strategy. You should be able to turn raw customer conversations into crisp language the entire company can use. What We're Looking For We are looking for exceptional generalists with rare taste across AI, product, customers, and commercial strategy. You might come from: Technical GTM at a frontier AI, infra, devtools, or enterprise software company Founder or early operator experience at an AI startup Product or strategy at a highly technical company Forward-deployed engineering, solutions, or applied AI work Investing, venture, or strategic finance with deep AI infrastructure exposure Research-adjacent roles where you worked directly with customers or product teams You should have: Strong product and commercial judgment Ability to understand technical products quickly Excellent written communication High agency and comfort with ambiguity Taste for what makes a customer problem real Ability to work with researchers, engineers, executives, and operators Sharp instincts around enterprise buying, POCs, procurement, and expansion Obsession with AI, post-training, agents, evals, and infrastructure Ability to create structure where none exists You do not need to be a researcher, but you should be technical enough to earn trust with researchers and customers. You do not need to be a traditional salesperson, but you should be commercially intense enough to close. You do not need to be a PM, but you should have strong product taste. Bonus Points Experience with RL, SFT, evals, agent frameworks, or LLM post-training Experience selling or deploying infrastructure, AI platforms, devtools, or enterprise AI products Experience working with frontier AI labs, model companies, or infra-heavy startups Ability to write excellent customer-facing decks, memos, proposals, and launch narratives Strong network across AI startups, research labs, or enterprise AI teams Founder mentality and willingness to do unglamorous work to win Why This Role Most GTM roles ask you to sell a product someone else already defined. This role asks you to help define the product, the market, the motion, and the revenue engine at the same time. You will work on the hardest commercial and product questions at one of the fastest-growing companies in AI infrastructure. You will sit close to customers building real AI systems, researchers pushing the frontier of post-training, and leadership making company-defining decisions. If you want a clean playbook, this is not the role. If you want to help invent the playbook for how frontier AI infrastructure gets built, packaged, sold, deployed, and scaled, this is the role. What We Offer Competitive cash compensation and meaningful equity Flexible work in San Francisco or hybrid-remote Visa sponsorship and relocation support Professional development budget Team off-sites and conference attendance A front-row seat to building the infrastructure layer for open AI Ready to Build the Commercial Engine for Open Superintelligence? Apply to help Prime Intellect turn frontier post-training infrastructure into the product, platform, and customer motion that powers the next generation of AI systems. Please mention the word **REWARDING** and tag RMTk3LjQ3LjE5Ny44NQ== when applying to show you read the job post completely (#RMTk3LjQ3LjE5Ny44NQ==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",remoteok,1135061,Prime Intellect,San Francisco,https://remoteOK.com/remote-jobs/remote-applied-ai-product-strategy-revenue-lead-prime-intellect-1135061,"[""sys admin"", ""education"", ""full stack"", ""exec"", ""technical"", ""customer support"", ""dev"", ""finance"", ""legal"", ""sales"", ""golang"", ""engineer"", ""digital nomad""]",2026-07-19T16:00:03+00:00,,,business
Closer SaaS B2B,Anunciada 00:52:26. VAGA 100% HOME OFFICESOBRE A BUZZMONITORA Buzzmonitor é uma empresa brasileira de tecnologia que... - veja esta vaga e outras semelhantes no LinkedIn. Please mention the word **FEARLESSLY** and tag RMTk3LjQ3LjE5Ny44NQ== when applying to show you read the job post completely (#RMTk3LjQ3LjE5Ny44NQ==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,remoteok,1135060,Buzzmonitor,"Brasil, ",https://remoteOK.com/remote-jobs/remote-closer-saas-b2b-buzzmonitor-1135060,"[""saas""]",2026-07-19T15:08:39+00:00,,,
Analista Comercial Jr I Vendas & Relacionamento,"Anunciada 00:00:00. Com senso de dono e colaboração, unimos forças para remover barreiras e impulsionarnegócios. Não... - veja esta vaga e outras semelhantes no LinkedIn. Please mention the word **FRUGAL** and tag RMTk3LjQ3LjE5Ny44NQ== when applying to show you read the job post completely (#RMTk3LjQ3LjE5Ny44NQ==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",remoteok,1135059,Bling,"Brasil, ",https://remoteOK.com/remote-jobs/remote-analista-comercial-jr-i-vendas-relacionamento-bling-1135059,[],2026-07-19T15:02:04+00:00,,,
Safety Investigation Specialist II,"Ready to Ride? This isn't the kind of place where you follow a playbook - it's where you help write one. If you're driven by impact, energized by challenge, and ready to shape how the world moves - we'd love to hear from you. You may be eligible for bonuses, equity, and other compensation, as well as a range of benefits. Explore our benefits. Offices remain key to collaboration and Uber's culture. Unless approved for full remote work, employees must spend at least 50% of their time in-office. Some roles, like those at greenlight hubs, require full-time in-office presence. Ask your Recruiter for details about this role's requirements. Uber is proud to be an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know by completing this form. Please mention the word **INCREDIBLE** and tag RMTk3LjQ3LjE5Ny44NQ== when applying to show you read the job post completely (#RMTk3LjQ3LjE5Ny44NQ==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",remoteok,1135064,Uber,"Visakhapatnam Rural mandal, ",https://remoteOK.com/remote-jobs/remote-safety-investigation-specialist-ii-uber-1135064,"[""recruiter"", ""legal"", ""full time"", ""non tech""]",2026-07-19T13:46:56+00:00,,,
Consultor Comercial,Anunciada 18:39:43. 🚀 Seja um Herói da Educação e Conquiste sua Liberdade Financeira na Kodland! 🚀A Kodland é uma... Please mention the word **EXCEEDS** and tag RMTk3LjQ3LjE5Ny44NQ== when applying to show you read the job post completely (#RMTk3LjQ3LjE5Ny44NQ==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,remoteok,1135054,Kodland,"Brasil, ",https://remoteOK.com/remote-jobs/remote-consultor-comercial-kodland-1135054,[],2026-07-19T11:07:46+00:00,,,
Data Entry Assistant,"We are currently hiring for a full-time remote position open exclusively to candidates based in the United States. This is a stable work-from-home opportunity within a professional, structured, and supportive team environment. Position Type: Full-Time (Remote) Location: United States only Pay Rate: $28 per hour No prior experience is required. Paid training will be provided. We are looking for dependable individuals with a positive attitude, strong work ethic, and a willingness to learn. Requirements Must be legally authorized to work in the United States. Must have access to a reliable computer or laptop. Must have a stable and reliable internet connection. Basic computer skills are required, including typing, email usage, and file management. Strong attention to detail and accuracy. Good written and verbal communication skills. Ability to work independently with minimal supervision. Must have a quiet and distraction-free workspace. Key Responsibilities Perform assigned tasks accurately and efficiently on a daily basis. Enter, manage, and maintain data, records, or communications as required. Follow written instructions, company guidelines, and internal procedures carefully. Communicate professionally with internal teams or external contacts when necessary. Manage time effectively while working independently in a remote environment. Maintain confidentiality, data security, and data integrity at all times. Participate in training sessions, onboarding activities, or team meetings as required. Adapt to new tools, software, and processes as the role evolves. What We Offer Competitive pay at $28 per hour for full-time work. 100 percent remote work environment. Paid training and onboarding provided. Consistent full-time work schedule. Opportunities for growth and advancement within the company. Supportive and professional team environment. Weekly or bi-weekly pay depending on role and assignment. Interested candidates may apply for next steps. We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us. Please mention the word **FAVORABLE** and tag RMTk3LjQ3LjE5Ny44NQ== when applying to show you read the job post completely (#RMTk3LjQ3LjE5Ny44NQ==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",remoteok,1135073,JobsInMass.com,"Beverly, ",https://remoteOK.com/remote-jobs/remote-data-entry-assistant-jobsinmass-com-1135073,"[""data entry"", ""education"", ""customer support"", ""dev"", ""marketing"", ""travel"", ""microsoft"", ""exec"", ""excel"", ""recruiter"", ""full time"", ""part time"", ""digital nomad"", ""infosec"", ""admin"", ""virtual assistant""]",2026-07-19T08:37:11+00:00,,,data_science
Entry Level Data Entry Clerk Admin,"We are currently hiring for a full-time remote position open exclusively to candidates based in the United States. This is a stable work-from-home opportunity within a professional, structured, and supportive team environment. Position Type: Full-Time (Remote) Location: United States only Pay Rate: $28 per hour No prior experience is required. Paid training will be provided. We are looking for dependable individuals with a positive attitude, strong work ethic, and a willingness to learn. Requirements Must be legally authorized to work in the United States. Must have access to a reliable computer or laptop. Must have a stable and reliable internet connection. Basic computer skills are required, including typing, email usage, and file management. Strong attention to detail and accuracy. Good written and verbal communication skills. Ability to work independently with minimal supervision. Must have a quiet and distraction-free workspace. Key Responsibilities Perform assigned tasks accurately and efficiently on a daily basis. Enter, manage, and maintain data, records, or communications as required. Follow written instructions, company guidelines, and internal procedures carefully. Communicate professionally with internal teams or external contacts when necessary. Manage time effectively while working independently in a remote environment. Maintain confidentiality, data security, and data integrity at all times. Participate in training sessions, on boarding activities, or team meetings as required. Adapt to new tools, software, and processes as the role evolves. What We Offer Competitive pay at $28 per hour for full-time work. 100 percent remote work environment. Paid training and on boarding provided. Consistent full-time work schedule. Opportunities for growth and advancement within the company. Supportive and professional team environment. Weekly or bi-weekly pay depending on role and assignment. Interested candidates may apply for next steps. We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us. Please mention the word **UNBOUND** and tag RMTk3LjQ3LjE5Ny44NQ== when applying to show you read the job post completely (#RMTk3LjQ3LjE5Ny44NQ==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",remoteok,1135071,JobsInMass.com,"Beverly, ",https://remoteOK.com/remote-jobs/remote-entry-level-data-entry-clerk-admin-jobsinmass-com-1135071,"[""data entry"", ""education"", ""customer support"", ""dev"", ""marketing"", ""travel"", ""microsoft"", ""exec"", ""excel"", ""recruiter"", ""full time"", ""part time"", ""digital nomad"", ""infosec"", ""admin""]",2026-07-19T08:37:06+00:00,,,data_science
Virtual Data Entry Clerk,"We are currently hiring for a full-time remote position open exclusively to candidates based in the United States. This is a stable work-from-home opportunity within a professional, structured, and supportive team environment. Position Type: Full-Time (Remote) Location: United States only Pay Rate: $28 per hour No prior experience is required. Paid training will be provided. We are looking for dependable individuals with a positive attitude, strong work ethic, and a willingness to learn. Requirements Must be legally authorized to work in the United States. Must have access to a reliable computer or laptop. Must have a stable and reliable internet connection. Basic computer skills are required, including typing, email usage, and file management. Strong attention to detail and accuracy. Good written and verbal communication skills. Ability to work independently with minimal supervision. Must have a quiet and distraction-free workspace. Key Responsibilities Perform assigned tasks accurately and efficiently on a daily basis. Enter, manage, and maintain data, records, or communications as required. Follow written instructions, company guidelines, and internal procedures carefully. Communicate professionally with internal teams or external contacts when necessary. Manage time effectively while working independently in a remote environment. Maintain confidentiality, data security, and data integrity at all times. Participate in training sessions, on boarding activities, or team meetings as required. Adapt to new tools, software, and processes as the role evolves. What We Offer Competitive pay at $28 per hour for full-time work. 100 percent remote work environment. Paid training and on boarding provided. Consistent full-time work schedule. Opportunities for growth and advancement within the company. Supportive and professional team environment. Weekly or bi-weekly pay depending on role and assignment. Interested candidates may apply for next steps. We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us. Please mention the word **DESERVING** and tag RMTk3LjQ3LjE5Ny44NQ== when applying to show you read the job post completely (#RMTk3LjQ3LjE5Ny44NQ==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",remoteok,1135074,JobsInMass.com,"Beverly, ",https://remoteOK.com/remote-jobs/remote-virtual-data-entry-clerk-jobsinmass-com-1135074,"[""data entry"", ""education"", ""customer support"", ""dev"", ""marketing"", ""travel"", ""microsoft"", ""exec"", ""excel"", ""recruiter"", ""full time"", ""part time"", ""digital nomad"", ""infosec"", ""admin"", ""virtual assistant""]",2026-07-19T08:37:00+00:00,,,data_science
