title,description,category,skills,source,url
Introduction to Python Programming,"Learn Python fundamentals including syntax, functions, and object-oriented programming (oop). Covers git version control, unit testing, and building small applications with sql-backed storage.",Computer Science,"python,object-oriented design,version control,sql",seed,https://example.edu/courses/intro-python
Data Structures and Algorithms,"A rigorous study of algorithms and data structures, including big o complexity analysis, sorting, trees, and graphs. Implemented in Python and Java.",Computer Science,"algorithms & data structures,python,java",seed,https://example.edu/courses/dsa
Object-Oriented Software Design,"Covers object-oriented design principles, design patterns, and uml modeling for building maintainable Java applications.",Computer Science,"object-oriented design,java",seed,https://example.edu/courses/oo-design
Software Engineering Practices,"Introduces the software development lifecycle (sdlc), code review practices, unit testing, and collaborative workflows using git and github.",Computer Science,"software engineering,version control",seed,https://example.edu/courses/swe-practices
Linux and Systems Programming,"Hands-on linux fundamentals course covering bash shell scripting, command line tools, and systems programming in c++.",Computer Science,"linux fundamentals,c++",seed,https://example.edu/courses/linux-systems
Database Systems and SQL,"Relational database design and sql query fundamentals using postgresql and mysql, including normalization and indexing.",Computer Science,"sql & relational databases",seed,https://example.edu/courses/database-systems
Machine Learning Fundamentals,"Introduces supervised learning and machine learning techniques using scikit-learn and Python, covering model training and evaluation.",Data Analytics,"machine learning,python",seed,https://example.edu/courses/ml-fundamentals
Deep Learning with Neural Networks,"Covers deep learning architectures including cnn models, built with pytorch and tensorflow for image and text tasks.",Data Analytics,"deep learning",seed,https://example.edu/courses/deep-learning
Statistics for Data Science,"Foundational statistics course covering hypothesis testing, regression, and probability theory for data science applications.",Data Analytics,"statistics",seed,https://example.edu/courses/statistics-ds
Data Analysis with Pandas,"Practical data analysis course covering exploratory data analysis, data cleaning, and manipulation using pandas in Python.",Data Analytics,"data analysis,python",seed,https://example.edu/courses/data-analysis-pandas
Data Visualization and Storytelling,"Learn data visualization techniques using tableau, power bi, and matplotlib to communicate insights effectively.",Data Analytics,"data visualization",seed,https://example.edu/courses/data-viz
Natural Language Processing,"Covers nlp techniques including text classification and transformers for building language understanding systems.",Data Analytics,"natural language processing",seed,https://example.edu/courses/nlp
AWS Cloud Practitioner Essentials,"Introduction to aws cloud services including ec2, s3, and core cloud computing concepts for beginners.",Cloud & DevOps,"amazon web services (aws)",seed,https://example.edu/courses/aws-essentials
Docker and Container Fundamentals,"Hands-on docker course covering containerization, writing a dockerfile, and managing container images.",Cloud & DevOps,"docker & containers",seed,https://example.edu/courses/docker-fundamentals
Kubernetes for Developers,"Learn kubernetes (k8s) for container orchestration, including helm charts and deployment strategies.",Cloud & DevOps,"kubernetes",seed,https://example.edu/courses/kubernetes-dev
CI/CD Pipeline Design,"Covers ci/cd pipeline design using jenkins and github actions for continuous integration and continuous deployment.",Cloud & DevOps,"ci/cd pipelines",seed,https://example.edu/courses/cicd-pipelines
Infrastructure as Code with Terraform,"Learn infrastructure as code practices using terraform and cloudformation to provision cloud resources.",Cloud & DevOps,"infrastructure as code",seed,https://example.edu/courses/terraform-iac
Networking Fundamentals for Cloud Engineers,"Covers networking fundamentals including tcp/ip, dns, and load balancing for cloud infrastructure.",Cloud & DevOps,"networking fundamentals",seed,https://example.edu/courses/networking-cloud
"HTML, CSS, and Responsive Web Design","Learn html and css fundamentals, responsive design techniques, and flexbox layout for modern websites.",Web Development,"html & css",seed,https://example.edu/courses/html-css
Modern JavaScript Programming,"Covers modern javascript including es6 features, typescript, and dom manipulation for interactive web apps.",Web Development,"javascript",seed,https://example.edu/courses/modern-js
React for Front-End Development,"Build interactive user interfaces with react, jsx, react hooks, and redux for state management.",Web Development,"react",seed,https://example.edu/courses/react-frontend
Building APIs with Node.js,"Learn to build backend services with node.js and express, including npm package management.",Web Development,"node.js",seed,https://example.edu/courses/nodejs-apis
REST API Design and GraphQL,"Covers rest api design principles, restful conventions, and an introduction to graphql for flexible apis.",Web Development,"rest apis",seed,https://example.edu/courses/rest-graphql
Web Performance and Accessibility,"Learn web performance optimization and accessibility (wcag) best practices, using lighthouse for audits.",Web Development,"web performance & accessibility",seed,https://example.edu/courses/web-performance
Network Security Fundamentals,"Introduces network security concepts including firewall configuration, vpn setup, and intrusion detection systems.",Cybersecurity,"network security",seed,https://example.edu/courses/network-security
Ethical Hacking and Penetration Testing,"Hands-on penetration testing and ethical hacking course covering vulnerability assessment methodologies.",Cybersecurity,"penetration testing",seed,https://example.edu/courses/ethical-hacking
Applied Cryptography,"Covers cryptography fundamentals including encryption, public key infrastructure, and hashing algorithms.",Cybersecurity,"cryptography",seed,https://example.edu/courses/applied-crypto
Security Compliance and Risk Management,"Learn security compliance frameworks including gdpr, iso 27001, and risk assessment methodologies.",Cybersecurity,"security compliance & governance",seed,https://example.edu/courses/security-compliance
Incident Response and Digital Forensics,"Covers incident response procedures, digital forensics, threat detection, and soc operations.",Cybersecurity,"incident response",seed,https://example.edu/courses/incident-response
Identity and Access Management,"Learn identity and access management (iam) principles including single sign-on and mfa implementation.",Cybersecurity,"identity & access management",seed,https://example.edu/courses/iam
Project Management Essentials,"Introduces project management fundamentals including agile, scrum, and kanban methodologies.",Business,"project management",seed,https://example.edu/courses/project-management
Business Analysis Fundamentals,"Covers business analysis techniques including requirements gathering and stakeholder management.",Business,"business analysis",seed,https://example.edu/courses/business-analysis
Financial Analysis and Modeling,"Learn financial analysis and financial modeling techniques including budgeting and forecasting.",Finance,"financial analysis",seed,https://example.edu/courses/financial-modeling
Digital Marketing Strategy,"Covers marketing strategy fundamentals including digital marketing, seo, and campaign management.",Marketing,"marketing strategy",seed,https://example.edu/courses/digital-marketing
Leadership and Team Management,"Develop leadership and team management skills including people management and mentoring techniques.",Business,"leadership & team management",seed,https://example.edu/courses/leadership
Excel for Business Analytics,"Learn advanced excel and spreadsheet techniques including pivot tables and business reporting.",Business,"spreadsheet & reporting tools",seed,https://example.edu/courses/excel-analytics
Human Resources Management Fundamentals,"Covers human resources management including recruiting, onboarding, and employee relations.",HR,"human resources management",seed,https://example.edu/courses/hr-fundamentals
Operations Management and Supply Chain,"Introduces operations management and project management principles for supply chain coordination.",Operations,"project management",seed,https://example.edu/courses/operations-management
Communication and Presentation Skills,"Develop communication skills and presentation techniques for effective public speaking and stakeholder communication.",Business,"communication & presentation",seed,https://example.edu/courses/communication-skills
UI/UX Design Fundamentals,"Introduces ui design and ux design principles including user experience research and wireframing.",Design,"ui/ux design",seed,https://example.edu/courses/ui-ux-fundamentals
Graphic Design with Adobe Creative Suite,"Learn graphic design fundamentals using adobe photoshop and adobe illustrator, including typography.",Design,"graphic design",seed,https://example.edu/courses/graphic-design
Prototyping with Figma,"Hands-on prototyping course using figma and sketch for interactive design mockups.",Design,"prototyping tools",seed,https://example.edu/courses/figma-prototyping
User Research Methods,"Covers user research methods including usability testing, user interviews, and persona development.",Design,"user research",seed,https://example.edu/courses/user-research
Design Systems and Component Libraries,"Learn to build scalable design systems, component libraries, and style guides for product teams.",Design,"design systems",seed,https://example.edu/courses/design-systems
Robotics and Control Systems,"Introduces robotics and control systems fundamentals including autonomous systems, mechatronics, and robot vision for mobile robots.",Computer Science,"robotics & control systems",seed,https://example.edu/courses/robotics-control-systems
Artificial Intelligence for Robotics,"Covers artificial intelligence and machine learning techniques applied to robotics, including robot vision and autonomous systems navigation.",Computer Science,"robotics & control systems,machine learning,computer vision",seed,https://example.edu/courses/ai-for-robotics
Internet of Things and Embedded Systems,"Introduces internet of things and embedded systems design, covering sensor networks, wireless sensor deployment, and networking fundamentals.",Computer Science,"internet of things & embedded systems,networking fundamentals",seed,https://example.edu/courses/iot-embedded-systems
Bioinformatics and Computational Biology,"Covers bioinformatics and computational biology methods for genomics and sequence analysis, combining statistics with biology domain knowledge.",Data Analytics,"bioinformatics & computational biology,statistics",seed,https://example.edu/courses/bioinformatics
Computer Graphics and Multimedia,"Introduces computer graphics and multimedia fundamentals including rendering, animation, and 3d modeling techniques.",Computer Science,"computer graphics & multimedia",seed,https://example.edu/courses/computer-graphics-multimedia
Data Science Methodology,"Covers the full data science methodology from data mining through machine learning model deployment, including exploratory data analysis.",Data Analytics,"machine learning,data analysis",seed,https://example.edu/courses/data-science-methodology
Advanced Deep Learning and Neural Networks,"Advanced course on deep learning and artificial neural network architectures, covering computer vision and natural language processing applications.",Data Analytics,"deep learning,computer vision,natural language processing",seed,https://example.edu/courses/advanced-deep-learning
Mobile and Distributed Computing,"Covers mobile computing, wireless networks, and distributed systems design for large-scale distributed programming.",Cloud & DevOps,"networking fundamentals,big data tools",seed,https://example.edu/courses/mobile-distributed-computing
