title,description,company,domain,skills,location,source,url
Software Engineer,"Build and maintain backend services in Python and Java. Requires strong knowledge of algorithms and data structures, version control with git, and software engineering best practices including unit testing.",TechCorp,Information Technology,"python,algorithms & data structures,version control,software engineering",Remote,seed,https://example.com/jobs/software-engineer
Senior Data Scientist,"Lead machine learning projects using Python and scikit-learn. Apply statistics and data visualization to communicate insights, and mentor junior data analysts.",DataWorks,Information Technology,"machine learning,statistics,data visualization,python",Remote,seed,https://example.com/jobs/senior-data-scientist
DevOps Engineer,"Own our CI/CD pipelines and cloud infrastructure. Requires hands-on experience with aws, docker, kubernetes, and infrastructure as code using terraform.",CloudNine,Information Technology,"amazon web services (aws),docker & containers,kubernetes,ci/cd pipelines,infrastructure as code",Remote,seed,https://example.com/jobs/devops-engineer
Front-End Developer,"Develop responsive web interfaces using react and modern javascript. Collaborate with designers on html and css implementation and consume rest apis.",Webify,Information Technology,"react,javascript,html & css,rest apis",San Francisco CA,seed,https://example.com/jobs/frontend-developer
Cybersecurity Analyst,"Monitor and respond to security incidents. Requires knowledge of network security, penetration testing techniques, and incident response procedures.",SecureNet,Information Technology,"network security,penetration testing,incident response",Remote,seed,https://example.com/jobs/cybersecurity-analyst
Machine Learning Engineer,"Design and deploy deep learning models using pytorch and tensorflow. Experience with natural language processing and Python required.",AI Labs,Information Technology,"deep learning,natural language processing,python",Remote,seed,https://example.com/jobs/ml-engineer
Cloud Solutions Architect,"Architect scalable cloud solutions on aws and azure. Requires deep networking fundamentals knowledge and infrastructure as code experience.",SkyCompute,Information Technology,"amazon web services (aws),microsoft azure,networking fundamentals,infrastructure as code",Remote,seed,https://example.com/jobs/cloud-architect
Backend Developer,"Build scalable APIs using node.js and sql databases. Strong understanding of rest api design and Python is a plus.",ServerSide Inc,Information Technology,"node.js,sql & relational databases,rest apis,python",Austin TX,seed,https://example.com/jobs/backend-developer
Full Stack Developer,"Work across the stack with javascript, react on the frontend and node.js with sql on the backend.",AppFactory,Information Technology,"javascript,react,node.js,sql & relational databases",Remote,seed,https://example.com/jobs/full-stack-developer
IT Systems Administrator,"Maintain Linux servers and internal networks. Requires linux fundamentals, networking fundamentals, and basic sql knowledge.",NetOps,Information Technology,"linux fundamentals,networking fundamentals,sql & relational databases",Chicago IL,seed,https://example.com/jobs/systems-administrator
Data Engineer,"Build data pipelines using Python and sql, working with big data tools like Spark to support analytics teams on aws.",PipelineWorks,Information Technology,"python,sql & relational databases,big data tools,amazon web services (aws)",Remote,seed,https://example.com/jobs/data-engineer
Security Engineer,"Design secure systems using cryptography and identity and access management practices. Strong network security background required.",Fortress Systems,Information Technology,"cryptography,identity & access management,network security",Remote,seed,https://example.com/jobs/security-engineer
Junior Software Developer,"Entry-level role writing Python code, learning algorithms and data structures, and collaborating using git.",StartupHub,Information Technology,"python,algorithms & data structures,version control",Remote,seed,https://example.com/jobs/junior-developer
Site Reliability Engineer,"Operate and scale production systems using kubernetes and docker. Own ci/cd pipelines and Linux infrastructure.",Uptime Co,Information Technology,"kubernetes,docker & containers,ci/cd pipelines,linux fundamentals",Remote,seed,https://example.com/jobs/sre
Mechanical Design Engineer,"Design mechanical components and manage projects from concept to production, coordinating with cross-functional teams and strong communication skills.",BuildCo,Engineering,"project management,communication & presentation",Detroit MI,seed,https://example.com/jobs/mechanical-engineer
Civil Site Engineer,"Oversee construction site engineering, requirements gathering, and project management for infrastructure projects.",Infrastructure Partners,Engineering,"project management,business analysis",Houston TX,seed,https://example.com/jobs/civil-engineer
Quality Assurance Engineer,"Ensure software quality through unit testing and software engineering best practices, communicating findings clearly to engineering teams.",ManufactureTech,Engineering,"software engineering,communication & presentation",Remote,seed,https://example.com/jobs/qa-engineer
Financial Analyst,"Perform financial analysis and build financial models in excel to support budgeting and forecasting decisions.",Capital Group,Finance,"financial analysis,spreadsheet & reporting tools,statistics",New York NY,seed,https://example.com/jobs/financial-analyst
Investment Data Analyst,"Analyze investment data using sql and data visualization tools to support financial analysis for portfolio managers.",FinData Corp,Finance,"financial analysis,data analysis,sql & relational databases,data visualization",Remote,seed,https://example.com/jobs/investment-data-analyst
Risk & Compliance Analyst,"Support financial analysis and security compliance reviews, communicating risk findings to stakeholders.",Global Bank,Finance,"financial analysis,security compliance & governance,communication & presentation",Remote,seed,https://example.com/jobs/risk-compliance-analyst
Digital Marketing Manager,"Own marketing strategy execution including seo, campaign management, and stakeholder communication.",BrandWave,Marketing,"marketing strategy,communication & presentation",Remote,seed,https://example.com/jobs/digital-marketing-manager
Marketing Data Analyst,"Analyze campaign performance using data analysis and data visualization to inform marketing strategy decisions.",AdMetrics,Marketing,"marketing strategy,data analysis,data visualization",Remote,seed,https://example.com/jobs/marketing-data-analyst
Product Designer,"Design user interfaces and experiences using ui design and ux design principles, prototyping in figma, and conducting user research.",DesignHub,Marketing,"ui/ux design,prototyping tools,user research",Remote,seed,https://example.com/jobs/product-designer
UX Researcher,"Conduct user research including usability testing and user interviews to inform ui design and ux design decisions.",DesignHub,Marketing,"user research,ui/ux design,communication & presentation",Remote,seed,https://example.com/jobs/ux-researcher
Operations Manager,"Lead daily operations, project management, and team leadership, using excel for reporting and analysis.",LogiChain,Operations,"project management,leadership & team management,spreadsheet & reporting tools",Remote,seed,https://example.com/jobs/operations-manager
Supply Chain Analyst,"Analyze supply chain data using excel and support project management initiatives across logistics teams.",Global Logistics,Operations,"data analysis,spreadsheet & reporting tools,project management",Remote,seed,https://example.com/jobs/supply-chain-analyst
HR Manager,"Lead human resources management including recruiting, onboarding, and employee relations, with strong leadership skills.",PeopleFirst Inc,Human Resources,"human resources management,leadership & team management,communication & presentation",Remote,seed,https://example.com/jobs/hr-manager
Technical Recruiter,"Source and recruit technical talent, managing the full human resources recruiting lifecycle with excellent communication skills.",TalentBridge,Human Resources,"human resources management,communication & presentation",Remote,seed,https://example.com/jobs/technical-recruiter
Data Scientist,"Apply machine learning and statistics to large datasets. Build data science models in Python, run exploratory data analysis, and present findings with data visualization.",Insight Analytics,Information Technology,"machine learning,statistics,data analysis,data visualization,python",Remote,seed,https://example.com/jobs/data-scientist
Data Science Manager,"Lead a team of data scientists building machine learning and data science models. Requires strong leadership and team management alongside deep data analysis expertise.",Insight Analytics,Information Technology,"machine learning,leadership & team management,data analysis",Remote,seed,https://example.com/jobs/data-science-manager
Quantitative Data Analyst,"Perform statistics-driven data analysis and build data visualization dashboards to support data science initiatives across the company.",Insight Analytics,Information Technology,"statistics,data analysis,data visualization",Remote,seed,https://example.com/jobs/quantitative-data-analyst
Applied Research Scientist NLP,"Research and build natural language processing systems using deep learning and transformers. Strong Python and machine learning background required.",LinguaTech,Information Technology,"natural language processing,deep learning,machine learning,python",Remote,seed,https://example.com/jobs/nlp-research-scientist
Computer Vision Engineer,"Build computer vision and image processing pipelines using deep learning and opencv. Experience with cnn architectures and Python required.",VisionAI Labs,Information Technology,"computer vision,deep learning,python",Remote,seed,https://example.com/jobs/computer-vision-engineer
Robotics Software Engineer,"Develop control software for robotics and autonomous systems. Requires robotics, control systems, and strong Python or C++ skills.",AutomatonWorks,Information Technology,"robotics & control systems,python,algorithms & data structures",Remote,seed,https://example.com/jobs/robotics-software-engineer
