title,description,source,job_id,company,location,url,posted_date,keyword_query,collection_domain,unified_domain
Software Engineer - Mid to Experienced Level (Maryland),"As a Software Engineer at NSA, you can focus on virtually any area of computer science including cybersecurity, high-performance computing (HPC), quantum computing research, data analytics, machine learning/artificial intelligence (ML/AI), cryptology/cryptography, complex algorithms, large-scale platform development and many others. The sheer breadth of technologies NSA uses provides countless opportunities for broadening your expertise and leadership growth.",usajobs,1260414,National Security Agency/Central Security Service,"Fort Meade, Maryland",https://www.usajobs.gov:443/job/877145100,2026-07-20T06:41:09.3030,software engineer,computer_science,data_science
"IT Specialist (APPSW) ""Software Engineer"", GS-2210-15 FPL GS-15 (Direct Hire) (Open Continuous)","This position is in the U.S. Department of Education (ED), Federal Student Aid (FSA), Technology Directorate (TD). The Technology Directorate provides information technology services for all FSA systems, promoting the effective and secure use of technology to achieve FSA's strategic objectives through sound planning, investments, integrated technology architectures and standards, effective systems development, production support, and cybersecurity services.",usajobs,FSA-2026-0118,Federal Student Aid,Multiple Locations,https://www.usajobs.gov:443/job/875046600,2026-07-01T00:00:00.0000,software engineer,computer_science,
Civil Engineer / Mechancial Engineer / Electrical Engineer,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is: This is a formal Air Force intern position, established under the PALACE Acquire (PAQ) program which is under the Pathways Recent Graduate Program. This position is centrally managed and funded by the Air Force Personnel Center, Civilian Career Management Directorate and administered by the Civil Engineer Career Team.",usajobs,D-26-DHA-12800575-KLB,Air Force Civilian Career Training,Multiple Locations,https://www.usajobs.gov:443/job/850081200,2025-11-14T07:41:39.3930,software engineer,computer_science,
Cybersecurity Engineering - Technical,"The Department of Homeland Security (DHS) is recruiting professionals to support a range of technical roles in Cybersecurity Engineering, including Cybersecurity Engineer, Information Security Analyst, Network Engineer, and Lead Software Developer. All positions are in the DHS Cybersecurity Service.",usajobs,26-12994069-CBWQ,DHS Headquarters,Multiple Locations,https://www.usajobs.gov:443/job/875159900,2026-07-06T00:00:00.0000,software engineer,computer_science,business
Supervisory General Engineer,"You will serve as a Supervisory General Engineer/SE Software Branch Head (BL25300), in the NAVAIRWARCENADLKE SE & ALRE Group; Support Equipment Dept; SE Engineering Integration Division.",usajobs,ST-13004031-26-MC,Naval Air Systems Command,"Lakehurst, New Jersey",https://www.usajobs.gov:443/job/876282400,2026-07-15T00:00:00.0000,software engineer,computer_science,
Railroad Safety Inspector (Operating Practices) - DIRECT HIRE (SME),"The position(s) is located in the Office of Railroad Safety, Operating Practices Division. The Operating Practices Division is responsible for examining carriers operating rules, employee qualification guidelines and carrier employee training programs to determine compliance with existing Federal regulations and standards and investigates railroad accidents using established FRA policies, guides, manuals to determine probable cause.",usajobs,FRA.OP-2026-0002,Federal Railroad Administration,Multiple Locations,https://www.usajobs.gov:443/job/871955200,2026-06-05T00:00:00.0000,software engineer,computer_science,cybersecurity
ENGINEERING,"The PALACE Acquire Program offers you a permanent position upon completion of your formal training plan. As a Palace Acquire Intern you will experience both personal and professional growth while dealing effectively and ethically with change, complexity, and problem solving. The program offers a 3-year formal training plan with yearly salary increases. Promotions and salary increases are based upon your successful performance and supervisory approval.",usajobs,K-26-DHA-12806014-BJM,Air Force Civilian Career Training,Multiple Locations,https://www.usajobs.gov:443/job/846773600,2025-09-29T00:00:00.0000,software engineer,computer_science,
General Engineer,See below for important information regarding this job. Additional vacancies may be filled from this announcement.,usajobs,DCMA-P4-26-12989882-IMP,Defense Contract Management Agency,"Roy, Utah",https://www.usajobs.gov:443/job/874443000,2026-06-25T17:19:10.5400,software engineer,computer_science,
Computer Engineer,See below for important information regarding this job. Additional vacancies may be filled from this announcement.,usajobs,DCMA-P4-26-13002177-IMP,Defense Contract Management Agency,"Wilmington, Massachusetts",https://www.usajobs.gov:443/job/875891500,2026-07-09T10:51:36.8170,software engineer,computer_science,
Senior Leader Software Directorate,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The Senior Leader Software Directorate provides executive oversight for more than 5,500 software professionals within the Air Force Sustainment Center Software Directorate (AFSC/SW). The role is essential to national security, ensuring the delivery of secure, resilient, and war-winning software capabilities that power critical U.S. warfighting systems.",usajobs,MRL2026-10090A,Department of the Air Force - Agency Wide,Multiple Locations,https://www.usajobs.gov:443/job/876344400,2026-07-13T16:49:21.4770,software engineer,computer_science,
